Pass;Blocks;Threads;Time
99999;16;64;7.494413960
99999;32;64;4.389709292
99999;48;64;3.492298057
99999;64;64;2.842191706
99999;80;64;3.462695716
99999;96;64;3.406241368
99999;112;64;3.312146911
99999;128;64;3.439085543
99999;144;64;3.903613310
99999;160;64;3.747954847
99999;16;96;7.457987778
99999;32;96;4.238301581
99999;48;96;3.398119997
99999;64;96;3.282943341
99999;80;96;3.559261355
99999;96;96;3.476111479
99999;112;96;4.002617365
99999;128;96;4.288203998
99999;144;96;4.229174277
99999;160;96;4.168678105
99999;16;128;6.547556834
99999;32;128;3.750922627
99999;48;128;3.528641026
99999;64;128;3.592759250
99999;80;128;3.940172839
99999;96;128;4.001308170
99999;112;128;4.256849934
99999;128;128;4.371442389
99999;144;128;4.371111926
99999;160;128;4.410175844
Pass;Blocks;Threads;Time
9999;16;64;1.352456904
9999;32;64;1.263319533
9999;48;64;1.247017255
9999;64;64;1.258816733
9999;80;64;1.241072356
9999;96;64;1.231962967
9999;112;64;1.230937135
9999;128;64;1.256672396
9999;144;64;1.281979064
9999;160;64;1.265332714
9999;16;96;1.342673271
9999;32;96;1.318807199
9999;48;96;1.298673386
9999;64;96;1.268962870
9999;80;96;1.356721444
9999;96;96;1.353500218
9999;112;96;1.349257331
9999;128;96;1.304474279
9999;144;96;1.276687869
9999;160;96;1.264915579
9999;16;128;1.355990862
9999;32;128;1.273157999
9999;48;128;1.248548622
9999;64;128;1.379836392
9999;80;128;1.359119346
9999;96;128;1.317011218
9999;112;128;1.271754800
9999;128;128;1.252091880
9999;144;128;1.258402151
9999;160;128;1.290177886
Pass;Blocks;Threads;Time
zebra1;16;64;374.775542835
zebra1;32;64;204.204985501
zebra1;48;64;134.225368234
zebra1;64;64;110.650750374
zebra1;80;64;85.357773449
zebra1;96;64;86.352969632
zebra1;112;64;126.623402646
zebra1;128;64;67.973645052
zebra1;144;64;132.104988023
zebra1;160;64;55.962610864
zebra1;16;96;55.124660772
zebra1;32;96;58.461404998
zebra1;48;96;58.057521987
zebra1;64;96;57.871632112
zebra1;80;96;120.065913101
zebra1;96;96;131.142102237
zebra1;112;96;175.391218274
zebra1;128;96;28.716577380
zebra1;144;96;49.804168222
zebra1;160;96;89.183122064
zebra1;16;128;269.056624019
zebra1;32;128;122.688773382
zebra1;48;128;75.664647651
zebra1;64;128;67.720679871
zebra1;80;128;61.368890751
zebra1;96;128;30.746717061
zebra1;112;128;189.117758667
zebra1;128;128;166.336780345
zebra1;144;128;138.082090767
zebra1;160;128;128.520114816
Pass;Blocks;Threads;Time
~A9C;16;64;1.870448209
~A9C;32;64;1.581040886
~A9C;48;64;1.446316645
~A9C;64;64;1.372424971
~A9C;80;64;1.351028528
~A9C;96;64;1.381064266
~A9C;112;64;1.470548744
~A9C;128;64;1.447078041
~A9C;144;64;1.245101387
~A9C;160;64;1.264692225
~A9C;16;96;1.362678033
~A9C;32;96;1.364512240
~A9C;48;96;1.358169850
~A9C;64;96;1.363481090
~A9C;80;96;1.372093374
~A9C;96;96;1.226114675
~A9C;112;96;1.326039674
~A9C;128;96;1.407351653
~A9C;144;96;1.407995907
~A9C;160;96;1.439147345
~A9C;16;128;1.391027181
~A9C;32;128;1.394056797
~A9C;48;128;1.394785241
~A9C;64;128;1.454968653
~A9C;80;128;1.272806320
~A9C;96;128;1.348764861
~A9C;112;128;1.409084636
~A9C;128;128;1.465674687
~A9C;144;128;1.273299834
~A9C;160;128;1.351990443
Pass;Blocks;Threads;Time
J@K1!;16;64;48.610883759
J@K1!;32;64;25.762332235
J@K1!;48;64;18.513293103
J@K1!;64;64;13.772840891
J@K1!;80;64;13.304557429
J@K1!;96;64;9.985149668
J@K1!;112;64;8.716464579
J@K1!;128;64;15.576908003
J@K1!;144;64;8.417746798
J@K1!;160;64;18.632996933
J@K1!;16;96;21.593174296
J@K1!;32;96;21.708996579
J@K1!;48;96;4.327577205
J@K1!;64;96;9.633037729
J@K1!;80;96;14.518183300
J@K1!;96;96;5.568504784
J@K1!;112;96;18.365222802
J@K1!;128;96;4.056212079
J@K1!;144;96;14.195292547
J@K1!;160;96;23.312599155
J@K1!;16;128;9.873693535
J@K1!;32;128;9.638415400
J@K1!;48;128;10.331063179
J@K1!;64;128;14.729272517
J@K1!;80;128;19.515514379
J@K1!;96;128;3.113347551
J@K1!;112;128;9.132041190
J@K1!;128;128;13.935994814
J@K1!;144;128;17.517171455
J@K1!;160;128;22.523059485
